Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
-----------------------------------------------
                0.18    0.00 7758184/7758184     ExactCoverDancingLinks::dancingLinksAlgorithmX(int) [4]
[14]    12.1    0.18    0.00 7758184         ExactCoverDancingLinks::uncover(node*) [14]
-----------------------------------------------
                0.14    0.00 7758184/7758184     ExactCoverDancingLinks::dancingLinksAlgorithmX(int) [4]
[15]     9.4    0.14    0.00 7758184         ExactCoverDancingLinks::cover(node*) [15]
-----------------------------------------------
                0.00    0.13 5252741/5252741     bool std::operator< <int, 2ul>(std::array<int, 2ul> const&, std::array<int, 2ul> const&) [12]
[16]     8.6    0.00    0.13 5252741         bool std::lexicographical_compare<int const*, int const*>(int const*, int const*, int const*, int const*) [16]
                0.01    0.11 5252741/5252741     bool std::__lexicographical_compare_aux<int const*, int const*>(int const*, int const*, int const*, int const*) [17]
-----------------------------------------------
                0.01    0.11 5252741/5252741     bool std::lexicographical_compare<int const*, int const*>(int const*, int const*, int const*, int const*) [16]
[17]     8.6    0.01    0.11 5252741         bool std::__lexicographical_compare_aux<int const*, int const*>(int const*, int const*, int const*, int const*) [17]
                0.03    0.06 5252741/5252741     bool std::__lexicographical_compare_aux1<int const*, int const*>(int const*, int const*, int const*, int const*) [18]
                0.02    0.00 21010964/22019404     int const* std::__niter_base<int const*>(int const*) [50]
-----------------------------------------------
                0.03    0.06 5252741/5252741     bool std::__lexicographical_compare_aux<int const*, int const*>(int const*, int const*, int const*, int const*) [17]
[18]     6.0    0.03    0.06 5252741         bool std::__lexicographical_compare_aux1<int const*, int const*>(int const*, int const*, int const*, int const*) [18]
                0.03    0.03 5252741/5252741     bool std::__lexicographical_compare<false>::__lc<int const*, int const*>(int const*, int const*, int const*, int const*) [22]
-----------------------------------------------
                0.00    0.08  100844/100844      CreateSparseExactCoverMatrix::fillSparseExactCoverMatrix() [20]
[19]     5.2    0.00    0.08  100844         CreateSparseExactCoverMatrix::addSparseExactCoverMatrix(int, int, int, int) [19]
                0.00    0.05  504220/504595      std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&) [25]
                0.00    0.02  504220/504220      std::vector<int, std::allocator<int> >::vector(std::initializer_list<int>, std::allocator<int> const&) [56]
                0.00    0.00  504220/2962270     std::vector<int, std::allocator<int> >::~vector() [45]
                0.00    0.00  504220/5484495     std::allocator<int>::~allocator() [57]
                0.00    0.00  504220/504595      std::allocator<int>::allocator() [258]
                0.00    0.00  403376/1750560     std::vector<int, std::allocator<int> >::operator[](unsigned long) [201]
-----------------------------------------------
                0.00    0.08     375/375         CreateSparseExactCoverMatrix::CreateSparseExactCoverMatrix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&) [6]
[20]     5.2    0.00    0.08     375         CreateSparseExactCoverMatrix::fillSparseExactCoverMatrix() [20]
                0.00    0.08  100844/100844      CreateSparseExactCoverMatrix::addSparseExactCoverMatrix(int, int, int, int) [19]
-----------------------------------------------
                0.00    0.07     375/375         ExactCoverDancingLinks::ExactCoverDancingLinks(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [3]
[21]     4.5    0.00    0.07     375         CreateToroidalLinkedList::CreateToroidalLinkedList(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [21]
                0.06    0.00     375/375         CreateToroidalLinkedList::addNodes() [23]
                0.00    0.01     375/2250        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator=(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&) [27]
                0.00    0.00     375/3375        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector() [365]
                0.00    0.00     375/375         CreateToroidalLinkedList::getNumProblemColumns() [387]
                0.00    0.00     375/375         CreateToroidalLinkedList::addHead() [388]
                0.00    0.00     375/375         CreateToroidalLinkedList::addNodeColumnHeader() [385]
-----------------------------------------------
                0.03    0.03 5252741/5252741     bool std::__lexicographical_compare_aux1<int const*, int const*>(int const*, int const*, int const*, int const*) [18]
[22]     4.0    0.03    0.03 5252741         bool std::__lexicographical_compare<false>::__lc<int const*, int const*>(int const*, int const*, int const*, int const*) [22]
                0.02    0.01 5252741/5252741     bool std::__lexicographical_compare_impl<int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter) [39]
                0.00    0.00 5252741/5252741     __gnu_cxx::__ops::__iter_less_iter() [168]
-----------------------------------------------
                0.06    0.00     375/375         CreateToroidalLinkedList::CreateToroidalLinkedList(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [21]
[23]     4.0    0.06    0.00     375         CreateToroidalLinkedList::addNodes() [23]
                0.00    0.00  806752/1377934     std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [214]
                0.00    0.00  806752/1750560     std::vector<int, std::allocator<int> >::operator[](unsigned long) [201]
                0.00    0.00  403751/844156      std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [231]
                0.00    0.00  403376/525251      node::node() [248]
-----------------------------------------------
                0.01    0.04  637875/637875      std::pair<std::_Rb_tree_iterator<std::array<int, 2ul> >, bool> std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_insert_unique<std::array<int, 2ul> >(std::array<int, 2ul>&&) [10]
[24]     3.4    0.01    0.04  637875         std::_Rb_tree_iterator<std::array<int, 2ul> > std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_insert_<std::array<int, 2ul>, std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::array<int, 2ul>&&, std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_Alloc_node&) [24]
                0.00    0.02  607500/5252741     std::less<std::array<int, 2ul> >::operator()(std::array<int, 2ul> const&, std::array<int, 2ul> const&) const [11]
                0.00    0.01  637875/637875      std::_Rb_tree_node<std::array<int, 2ul> >* std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_Alloc_node::operator()<std::array<int, 2ul> >(std::array<int, 2ul>&&) const [66]
                0.00    0.00  607500/1365750     std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_S_key(std::_Rb_tree_node_base const*) [109]
                0.00    0.00  637875/1488375     std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_end() [212]
                0.00    0.00  637875/4586625     std::array<int, 2ul>&& std::forward<std::array<int, 2ul> >(std::remove_reference<std::array<int, 2ul> >::type&) [173]
                0.00    0.00  637875/1966875     std::_Rb_tree_iterator<std::array<int, 2ul> >::_Rb_tree_iterator(std::_Rb_tree_node_base*) [193]
                0.00    0.00  607500/1427625     std::_Identity<std::array<int, 2ul> >::operator()(std::array<int, 2ul>&) const [213]
-----------------------------------------------
                0.00    0.00     375/504595      ExactCoverDancingLinks::dancingLinksAlgorithmX(int) [4]
                0.00    0.05  504220/504595      CreateSparseExactCoverMatrix::addSparseExactCoverMatrix(int, int, int, int) [19]
[25]     3.4    0.00    0.05  504595         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&) [25]
                0.00    0.03    8601/8601        void std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_realloc_insert<std::vector<int, std::allocator<int> > const&>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> > const&) [33]
                0.00    0.02  495994/504595      void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [63]
                0.00    0.00    8601/8601        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() [342]
-----------------------------------------------
                0.00    0.01  504595/1513785     void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [62]
                0.01    0.03 1009190/1513785     void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [34]
[26]     3.4    0.01    0.04 1513785         std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [26]
                0.00    0.03 1513785/1513785     int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&) [49]
                0.00    0.01 1513785/1513785     std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [105]
                0.00    0.00 1513785/5484495     std::allocator<int>::~allocator() [57]
                0.00    0.00 1513785/5490495     std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [112]
                0.00    0.00 1513785/1519785     std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const [204]
                0.00    0.00 1513785/1513785     __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&) [205]
                0.00    0.00 1513785/1556535     std::vector<int, std::allocator<int> >::size() const [203]
                0.00    0.00 1513785/1513785     std::vector<int, std::allocator<int> >::end() const [206]
                0.00    0.00 1513785/1513785     std::vector<int, std::allocator<int> >::begin() const [207]
-----------------------------------------------
                0.00    0.01     375/2250        CreateToroidalLinkedList::CreateToroidalLinkedList(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [21]
                0.00    0.01     750/2250        SolutionTranslator::SolutionTranslator(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&) [70]
                0.00    0.02    1125/2250        benchmark() [2]
[27]     2.9    0.00    0.04    2250         std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator=(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&) [27]
                0.00    0.03    2250/2250        std::vector<int, std::allocator<int> >* std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > >(unsigned long, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >) [36]
                0.00    0.01    2250/5625        void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [54]
                0.00    0.00    2250/2250        __gnu_cxx::__alloc_traits<std::allocator<std::vector<int, std::allocator<int> > >, std::vector<int, std::allocator<int> > >::_S_propagate_on_copy_assign() [370]
                0.00    0.00    2250/844156      std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [231]
                0.00    0.00    2250/2250        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::capacity() const [373]
                0.00    0.00    2250/2250        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() const [371]
                0.00    0.00    2250/2250        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() const [372]
                0.00    0.00    2250/25077       std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() [330]
                0.00    0.00    2250/14226       std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [333]
-----------------------------------------------
                0.02    0.02 10505482/10505482     bool std::operator< <int, 2ul>(std::array<int, 2ul> const&, std::array<int, 2ul> const&) [12]
[28]     2.5    0.02    0.02 10505482         std::array<int, 2ul>::end() const [28]
                0.01    0.00 10505482/21010964     std::array<int, 2ul>::data() const [32]
-----------------------------------------------
                0.00    0.04   30375/30375       CreateSparseExactCoverMatrix::fillCellPeers() [7]
[29]     2.4    0.00    0.04   30375         std::set<std::array<int, 2ul>, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::~set() [29]
                0.00    0.04   30375/30375       std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::~_Rb_tree() [30]
-----------------------------------------------
                0.00    0.04   30375/30375       std::set<std::array<int, 2ul>, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::~set() [29]
[30]     2.4    0.00    0.04   30375         std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::~_Rb_tree() [30]
                0.01    0.02   30375/30375       std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_erase(std::_Rb_tree_node<std::array<int, 2ul> >*) [31]
                0.00    0.00   30375/880875      std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_begin() [128]
                0.00    0.00   30375/30375       std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_Rb_tree_impl<std::less<std::array<int, 2ul> >, true>::~_Rb_tree_impl() [320]
-----------------------------------------------
                              607500             std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_erase(std::_Rb_tree_node<std::array<int, 2ul> >*) [31]
                0.01    0.02   30375/30375       std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::~_Rb_tree() [30]
[31]     2.4    0.01    0.02   30375+607500  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_erase(std::_Rb_tree_node<std::array<int, 2ul> >*) [31]
                0.00    0.02  607500/637875      std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_drop_node(std::_Rb_tree_node<std::array<int, 2ul> >*) [58]
                0.00    0.00  607500/2960625     std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_S_right(std::_Rb_tree_node_base*) [80]
                0.00    0.00  607500/1650000     std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_S_left(std::_Rb_tree_node_base*) [202]
                              607500             std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_erase(std::_Rb_tree_node<std::array<int, 2ul> >*) [31]
-----------------------------------------------
                0.01    0.00 10505482/21010964     std::array<int, 2ul>::begin() const [46]
                0.01    0.00 10505482/21010964     std::array<int, 2ul>::end() const [28]
[32]     2.3    0.03    0.01 21010964         std::array<int, 2ul>::data() const [32]
                0.01    0.00 21010964/21010964     std::__array_traits<int, 2ul>::_S_ptr(int const (&) [2]) [111]
-----------------------------------------------
                0.00    0.03    8601/8601        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::push_back(std::vector<int, std::allocator<int> > const&) [25]
[33]     2.3    0.00    0.03    8601         void std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_realloc_insert<std::vector<int, std::allocator<int> > const&>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> > const&) [33]
                0.00    0.03   17202/17202       std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_S_relocate(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [41]
                0.00    0.01    8601/8601        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_check_len(unsigned long, char const*) const [125]
                0.00    0.00    8601/504595      void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [63]
                0.00    0.00   17202/25077       std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() [330]
                0.00    0.00   17202/34404       __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const [284]
                0.00    0.00    8601/8601        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() [343]
                0.00    0.00    8601/8601        __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) [341]
                0.00    0.00    8601/10851       std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long) [338]
                0.00    0.00    8601/2026981     std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&) [183]
                0.00    0.00    8601/14226       std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [333]
-----------------------------------------------
                0.00    0.03 1009190/1009190     std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*) [35]
[34]     2.3    0.00    0.03 1009190         void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [34]
                0.01    0.03 1009190/1513785     std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [26]
                0.00    0.00 1009190/2026981     std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&) [183]
                0.00    0.00 1009190/5733721     operator new(unsigned long, void*) [164]
-----------------------------------------------
                0.00    0.03    2250/2250        std::vector<int, std::allocator<int> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*) [37]
[35]     2.3    0.00    0.03    2250         std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*) [35]
                0.00    0.03 1009190/1009190     void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&) [34]
                0.00    0.00 1011440/1011440     bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) [218]
                0.00    0.00 1009190/1009190     __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const [220]
                0.00    0.00 1009190/5354645     std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [167]
                0.00    0.00 1009190/1009190     __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator++() [219]
-----------------------------------------------
                0.00    0.03    2250/2250        std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator=(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&) [27]
[36]     2.3    0.00    0.03    2250         std::vector<int, std::allocator<int> >* std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > >(unsigned long, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >) [36]
                0.00    0.03    2250/2250        std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [38]
                0.00    0.00    2250/10851       std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long) [338]
                0.00    0.00    2250/25077       std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator() [330]
-----------------------------------------------
