Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.67      1.42     0.01   637875     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_destroy_node(std::_Rb_tree_node<std::array<int, 2ul> >*)
  0.67      1.43     0.01   113238     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::array<int, 2ul> const, std::array<std::array<int, 2ul>, 20ul> > >::_M_ptr()
  0.67      1.44     0.01    30375     0.00     0.00  CreateSparseExactCoverMatrix::findCellPeers(int, int)
  0.34      1.44     0.01 21010964     0.00     0.00  std::__array_traits<int, 2ul>::_S_ptr(int const (&) [2])
  0.34      1.45     0.01  5490495     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.34      1.45     0.01  2965270     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.34      1.46     0.01  2018005     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.34      1.46     0.01  1513785     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.34      1.47     0.01   880875     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_begin()
  0.34      1.47     0.01   637875     0.00     0.00  void std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_construct_node<std::array<int, 2ul> >(std::_Rb_tree_node<std::array<int, 2ul> >*, std::array<int, 2ul>&&)
  0.34      1.48     0.01    30375     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_Rb_tree_impl<std::less<std::array<int, 2ul> >, true>::_Rb_tree_impl()
